ProductID,Amount
1,842
9,0
13,10946
26,0
30,288972
39,390960
43,450551
47,249060
56,591136
60,146304
73,2728050
77,539363
86,0
90,0
103,1544205
107,128226
119,767536
123,327660
136,3860736
140,1394064
149,8470716
153,0
166,3132384
170,500820
183,2943108
187,324142
196,3221680
200,2023680
213,551914
217,46800
226,4179980
229,2471820
230,310240
233,785720
246,15350625
250,4386200
259,12236906
263,3834510
276,53039840
280,23624925
289,7279708
293,8696079
297,7982414
306,13613940
310,148428
323,849144
327,2139599
336,6445076
340,4651566
353,539784
357,401565
369,720655
373,339378
383,19496
386,480510
390,4698288
399,2522594
403,2956096
416,374250
420,230132
433,304395
437,163800
446,769400
450,494040
463,17946300
467,7626894
476,3571659
479,16720730
480,2449425
483,3585550
500,759300
